name,address,province,city,district,business_scope,contact,phone,registered_capital,registered_capital_raw,business_status,industry_code,tech_keywords,credit_score,role,is_verified,verification_status,source,source_company_id,source_url,source_query,uscc,establishment_date,website,phones_count,crucial_count,tags,raw_industries,scraped_at
东莞市益满江精密注塑模具有限公司,广东省东莞市谢岗镇谢岗新城一路7号5栋101室,广东省,东莞市,东莞市,"注塑模具,塑胶制品,五金制品,电力电子元器件,电脑配件,金属材料,电子产品,数码产品,货物或技术进出口",张**,00000000000,50.0,50万人民币,存续,,塑料制品业,80.0,enterprise,true,approved,tianxiagongchang.com,2630485,https://www.tianxiagongchang.com/detail/2630485_dong-guan-shi-yi-man-jiang-jing-mi-zhu-su-mu-ju-you-xian-gong-si,注塑模具,91441900MA520YAA6F,2018-07-17,,2,1,"存续,真实工厂",塑料制品业,2026-09-15T16:08:20.726521+00:00
苍南县龙港啊坤注塑模具加工厂,苍南县龙港镇新渡街603号一层,浙江省,温州市,苍南县,注塑模具加工,王**,00000000000,8.0,8万人民币,存续,,"其他未列明金属制品制造,其他未列明制造业",80.0,enterprise,true,approved,tianxiagongchang.com,2707552,https://www.tianxiagongchang.com/detail/2707552_cang-nan-xian-long-gang-a-kun-zhu-su-mu-ju-jia-gong-chang,注塑模具,92330327MA2C5QRYXX,2013-09-12,,1,1,"存续,真实工厂","其他未列明金属制品制造,其他未列明制造业",2026-09-15T16:08:20.726521+00:00
中山市顺利注塑模具有限公司,中山市东凤镇小沥社区江凤路6号一楼（住所申报）,广东省,中山市,,"注塑模具,插头模具,模具配件",周**,00000000000,30.0,30万人民币,存续,,"专用设备制造业,化工、木材、非金属加工专用设备制造,模具制造",80.0,enterprise,true,approved,tianxiagongchang.com,4157601,https://www.tianxiagongchang.com/detail/4157601_zhong-shan-shi-shun-li-zhu-su-mu-ju-you-xian-gong-si,注塑模具,91442000MA52QM8W21,2019-01-07,,4,2,存续,"专用设备制造业,化工、木材、非金属加工专用设备制造,模具制造",2026-09-15T16:08:20.726521+00:00
苍南县龙港镇华谊注塑模具加工厂,苍南县龙港镇白河小区A幢101室一层,浙江省,温州市,苍南县,注塑模具加工,董**,00000000000,1.0,1万人民币,存续,,"塑料零件及其他塑料制品制造,电子和电工机械专用设备制造",80.0,enterprise,true,approved,tianxiagongchang.com,1858544,https://www.tianxiagongchang.com/detail/1858544_cang-nan-xian-long-gang-zhen-hua-yi-zhu-su-mu-ju-jia-gong-chang,注塑模具,92330327MA2C9UTT4N,2010-11-01,,6,0,"存续,真实工厂","塑料零件及其他塑料制品制造,电子和电工机械专用设备制造",2026-09-15T16:08:20.726521+00:00
中山励志发注塑模具有限公司,中山市三乡镇乌石村黄屋坑路36号A栋1楼B区,广东省,中山市,中山市,"非金属制品和夹具及其相关产品的进出口业务,多种注塑件,开发,精密型腔模,夹具,摩托车模具,精冲模,模具标准件,生产和销售自产的多种注塑件,非金属制品,汽车,摩托车模具和夹具",彭**,00000000000,150.0,150万人民币,存续,,"塑料零件及其他塑料制品制造,模具制造",80.0,enterprise,true,approved,tianxiagongchang.com,1591704,https://www.tianxiagongchang.com/detail/1591704_zhong-shan-li-zhi-fa-zhu-su-mu-ju-you-xian-gong-si,注塑模具,914404000767267136,2013-08-21,,5,1,"存续,真实工厂,曾用名,珠海励志发注塑模具有限公司","塑料零件及其他塑料制品制造,模具制造",2026-09-15T16:08:20.726521+00:00
广州市协尔成注塑模具有限公司,广州市白云区人和镇鹤亭村秀盛路自编100号,广东省,广州市,白云区,"精密模具制造,喷油丝印,产品开发与设计,模具注塑加工,产品注塑",杨**,00000000000,100.0,100万人民币,存续,,塑料零件及其他塑料制品制造,80.0,enterprise,true,approved,tianxiagongchang.com,1220656,https://www.tianxiagongchang.com/detail/1220656_guang-zhou-shi-xie-er-cheng-zhu-su-mu-ju-you-xian-gong-si,注塑模具,91440101671803808U,2008-01-18,,6,2,"存续,真实工厂",塑料零件及其他塑料制品制造,2026-09-15T16:08:20.726521+00:00
东莞市卡耐基注塑模具科技有限公司,东莞市清溪镇居民香芒西路296号A栋一楼一区,广东省,东莞市,东莞市,,刘**,00000000000,500.0,500万人民币,存续,,模具制造,80.0,enterprise,true,approved,tianxiagongchang.com,1969364,https://www.tianxiagongchang.com/detail/1969364_dong-guan-shi-ka-nai-ji-zhu-su-mu-ju-ke-ji-you-xian-gong-si,注塑模具,914419000621423545,2013-03-08,,2,1,"存续,真实工厂",模具制造,2026-09-15T16:08:20.726521+00:00
深圳市镒成达注塑模具有限公司,深圳市宝安区新桥街道万丰社区大朗山一路1-1号平房2一层,广东省,深圳市,宝安区,,张**,00000000000,50.0,50万人民币,存续,,"塑料零件及其他塑料制品制造,其他贸易经纪与代理",80.0,enterprise,true,approved,tianxiagongchang.com,1443317,https://www.tianxiagongchang.com/detail/1443317_shen-zhen-shi-yi-cheng-da-zhu-su-mu-ju-you-xian-gong-si,注塑模具,91440300MA5FG6JQ73,2019-01-25,,2,1,"存续,真实工厂","塑料零件及其他塑料制品制造,其他贸易经纪与代理",2026-09-15T16:08:20.726521+00:00
江门市江海区荣和注塑模具有限公司,江门市江海区礼乐向荣工业区（自编东A6）,广东省,江门市,江海区,,吴**,00000000000,10.0,10万人民币,存续,,"塑料零件及其他塑料制品制造,模具制造",80.0,enterprise,true,approved,tianxiagongchang.com,264523,https://www.tianxiagongchang.com/detail/264523_jiang-men-shi-jiang-hai-qu-rong-he-zhu-su-mu-ju-you-xian-gong-si,注塑模具,91440704564589180L,2010-11-25,,3,0,"存续,真实工厂","塑料零件及其他塑料制品制造,模具制造",2026-09-15T16:08:20.726521+00:00
菏泽市牡丹区鹏兴注塑模具加工厂,菏泽市牡丹区何楼办事处晁大庄,山东省,菏泽市,牡丹区,,许*,00000000000,0.0,0.002万人民币,存续,,其他未列明零售业,80.0,enterprise,true,approved,tianxiagongchang.com,384518,https://www.tianxiagongchang.com/detail/384518_he-ze-shi-mu-dan-qu-peng-xing-zhu-su-mu-ju-jia-gong-chang,注塑模具,92371702MA3HTKL71Y,2013-06-05,,1,0,"存续,真实工厂",其他未列明零售业,2026-09-15T16:08:20.726521+00:00
佛吉亚（重庆）汽车零部件有限公司,重庆市渝北区双凤桥街道空港大道1072号,重庆市,重庆市,渝北区,"汽车零部件,内饰,座椅,排气系统,汽车内饰部件",许**,00000000000,13000.0,13000万人民币,存续,,"汽车零部件及配件制造,非织造布制造",80.0,enterprise,true,approved,tianxiagongchang.com,188410,https://www.tianxiagongchang.com/detail/188410_fu-ji-ya-chong-qing-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,91500112MA5U7DR41P,2016-08-23,http://faurecia.huibo.cn,16,1,"存续,真实工厂,曾用名,重庆佛吉亚长鹏汽车部件有限公司","汽车零部件及配件制造,非织造布制造",2026-09-15T16:08:20.726521+00:00
昆山达亚汽车零部件有限公司,巴城镇石牌工商管理区金凤凰路北侧,江苏省,苏州市,昆山市,"fanuc电焊机器人工作站,焊接加工,检具开发制造,焊接夹具的生产,货物及技术的进出口业务,总成焊接拼装,模具,焊接零部件,汽车零部件,检具,汽车车身上各种冲压,abb弧焊机器人工作站,大中小型件冲压,加工及销售",曹*,00000000000,119000.0,119000万人民币,存续,,"汽车零部件及配件制造,其他未列明通用设备制造业",80.0,enterprise,true,approved,tianxiagongchang.com,328030,https://www.tianxiagongchang.com/detail/328030_kun-shan-da-ya-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,91320583557109353J,2010-06-12,,8,1,"存续,真实工厂","汽车零部件及配件制造,其他未列明通用设备制造业",2026-09-15T16:08:20.726521+00:00
成都华滋东江汽车零部件有限公司,四川省成都市龙泉驿区黄土镇长伍村7组130号,四川省,成都市,龙泉驿区,"货物进出口业务,未取得相关行政许可,销售及货物进出口业务,汽车零部件的设计,检具,不得开展经营活动],夹具,钢材,汽车零部件,经相关部门批准后方可开展经营活动,开发,钢材的加工及销售[依法须经批准的项目,生产,模具",邹**,00000000000,6150.0,6150万人民币,存续,,汽车零部件及配件制造,80.0,enterprise,true,approved,tianxiagongchang.com,345668,https://www.tianxiagongchang.com/detail/345668_cheng-du-hua-zi-dong-jiang-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,91510112343041410M,2015-06-04,,12,1,"存续,真实工厂",汽车零部件及配件制造,2026-09-15T16:08:20.726521+00:00
陕西宏祥专用汽车零部件有限公司,陕西省咸阳市高新技术产业开发区高新大道十字东北角,陕西省,咸阳市,秦都区,"机械构件,汽车车厢的加工、安装,橡胶件加工,钢材、建材,金属材料,矿用机械,汽车（除小轿车外）及配件的销售,油田设备,水罐,油罐,野营房,钢结构,集装箱,活动板房,工程机械,汽车零部件",崔**,00000000000,10000.0,10000万人民币,存续,,"汽车零部件及配件制造,汽车整车制造",80.0,enterprise,true,approved,tianxiagongchang.com,406635,https://www.tianxiagongchang.com/detail/406635_shan-xi-hong-xiang-zhuan-yong-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,91610481MA6XXU974C,2020-05-21,,2,2,"存续,真实工厂","汽车零部件及配件制造,汽车整车制造",2026-09-15T16:08:20.726521+00:00
湖北顺达汽车零部件有限公司,湖北省麻城经济开发区京广大道以北,湖北省,黄冈市,麻城市,"汽车零部件总成,别墅门锁,模具制造,家具拉手,电泳,油漆喷涂,普通货物运输,汽车冲压件及焊接件,智能锁具,家具配件,工程配套五金,金属表面处理及热处理加工,机动车零部件及总成",吴**,00000000000,10000.0,10000万人民币,存续,,汽车零部件及配件制造,80.0,enterprise,true,approved,tianxiagongchang.com,427857,https://www.tianxiagongchang.com/detail/427857_hu-bei-shun-da-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,9142118155065659XN,2010-02-02,,7,1,"存续,真实工厂",汽车零部件及配件制造,2026-09-15T16:08:20.726521+00:00
沈阳市常春汽车零部件有限公司,沈阳市大东区建设路118号,辽宁省,沈阳市,大东区,"行李箱内饰总成,副仪表板总成,经相关部门批准后方可开展经营活动,汽车内外饰件开发,天窗遮阳板,汽车零部件制造,自有房屋租赁,设计,自营和代理各类商品和技术的进出口,仪表板,衣帽架总成,搬运装卸服务,依法须经批准的项目,但国家限定公司经营或禁止进出口的商品和技术除外,汽车制造厂配套门内护板总成",张*,00000000000,20200.0,20200万人民币,存续,,"汽车零部件及配件制造,汽车整车制造",80.0,enterprise,true,approved,tianxiagongchang.com,546982,https://www.tianxiagongchang.com/detail/546982_shen-yang-shi-chang-chun-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,91210100564686220E,2011-01-17,,5,1,"存续,真实工厂","汽车零部件及配件制造,汽车整车制造",2026-09-15T16:08:20.726521+00:00
杭州金日汽车零部件有限公司,浙江省杭州市临平区塘栖镇康信路603-1号1幢,浙江省,杭州市,临平区,"汽车零部件,丰田仪表台,汽车仪表台,大众倒车镜,现代倒车镜,皮卡车盖,倒车镜,本田倒车镜,丰田倒车镜,尼桑倒车镜",唐**,00000000000,5250.0,5250万人民币,存续,,"汽车零部件及配件制造,有色金属合金制造",80.0,enterprise,true,approved,tianxiagongchang.com,553938,https://www.tianxiagongchang.com/detail/553938_hang-zhou-jin-ri-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,91330110768220617K,2004-11-18,https://www.qxpautomirror.com,29,3,"存续,真实工厂","汽车零部件及配件制造,有色金属合金制造",2026-09-15T16:08:20.726521+00:00
常熟中隆汽车零部件有限公司,江苏省常熟经济技术开发区兴港路（东）3号,江苏省,苏州市,常熟市,"工装开发到实验验证,汽车车身冲压件,新车型白车身试制总成,并销售自产产品,生产,车身总成的研发,从事汽车零部件,汽车车身冲焊模块化总成的量产配套,质量培育",B**************,00000000000,11952.11,11952.113747万人民币,存续,,汽车零部件及配件制造,80.0,enterprise,true,approved,tianxiagongchang.com,619453,https://www.tianxiagongchang.com/detail/619453_chang-shu-zhong-long-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,913205813216810974,2014-12-25,,7,1,"存续,真实工厂",汽车零部件及配件制造,2026-09-15T16:08:20.726521+00:00
浙江金晟汽车零部件股份有限公司,浙江省诸暨市陶朱街道文丰路13号,浙江省,绍兴市,诸暨市,"冲压件,其他汽车零部件,研究,稳定杆,销售：自产产品,汽车零部件及配件,生产：稳定杆,开发：汽车零部件及配件",金**,00000000000,5500.0,5500万人民币,存续,,汽车零部件及配件制造,80.0,enterprise,true,approved,tianxiagongchang.com,646374,https://www.tianxiagongchang.com/detail/646374_zhe-jiang-jin-cheng-qi-che-ling-bu-jian-gu-fen-you-xian-gong-si,汽车零部件,91330600313626426F,2014-09-03,,13,1,"存续,真实工厂",汽车零部件及配件制造,2026-09-15T16:08:20.726521+00:00
郑州敏惠汽车零部件有限公司,郑州经济技术开发区（郑州国际物流园区）龙飞街362号,河南省,郑州市,中牟县,"特种密封材料的生产,非金属制品模具的设计,专用高强度坚固件,驱动桥总成,制造,组合仪表,无机非金属材料及制品,货物或技术进出口,特种密封材料,加工,汽车零部件,非金属制品模具,加工汽车零部件,场地租赁,房屋租赁,销售本公司产品,生产",钟**,00000000000,9000.0,9000万人民币,存续,,"汽车零部件及配件制造,汽车车身、挂车制造",80.0,enterprise,true,approved,tianxiagongchang.com,831587,https://www.tianxiagongchang.com/detail/831587_zheng-zhou-min-hui-qi-che-ling-bu-jian-you-xian-gong-si,汽车零部件,91410100599129010Y,2012-07-10,,6,1,"存续,真实工厂","汽车零部件及配件制造,汽车车身、挂车制造",2026-09-15T16:08:20.726521+00:00
江西谐源电子元器件有限公司,江西省鄱阳县芦田工业园区宝鸿标准厂房3栋1楼,江西省,上饶市,鄱阳县,"电子元器件生产及销售,橡塑原材料销售",江*,00000000000,200.0,200万人民币,存续,,电力电子元器件制造,80.0,enterprise,true,approved,tianxiagongchang.com,4253174,https://www.tianxiagongchang.com/detail/4253174_jiang-xi-xie-yuan-dian-zi-yuan-qi-jian-you-xian-gong-si,电子元器件,91361128322539535B,2014-12-18,,4,2,"存续,真实工厂,曾用名,江西谐源科技有限公司",电力电子元器件制造,2026-09-15T16:08:20.726521+00:00
慈溪市文辉电子元器件厂,慈溪市崇寿镇傅福村傅福四区132号,浙江省,宁波市,慈溪市,"手机磁铁,电机磁钢,塑料制品,电动自行车配件,玩具磁铁,电子元器件,慈溪市文辉电子元器件,永磁材料",黄**,00000000000,,,存续,,"电阻电容电感元件制造,电力电子元器件制造",80.0,enterprise,true,approved,tianxiagongchang.com,661168,https://www.tianxiagongchang.com/detail/661168_ci-xi-shi-wen-hui-dian-zi-yuan-qi-jian-chang,电子元器件,92330282MA2EJJLU8B,2009-12-03,,6,1,"存续,真实工厂","电阻电容电感元件制造,电力电子元器件制造",2026-09-15T16:08:20.726521+00:00
惠州市宏业永隆电子元器件有限公司,惠州市惠城区汝湖镇虾村村七组408号,广东省,惠州市,惠城区,"保险丝座,五金制品,保险丝,货物及技术进出口,电子线材,永隆电子元器件,国内贸易,电子产品,温度开关,电子元器件,销售：电子产品,加工,塑胶制品,生产",陈*,00000000000,50.0,50万人民币,存续,,电力电子元器件制造,80.0,enterprise,true,approved,tianxiagongchang.com,704385,https://www.tianxiagongchang.com/detail/704385_hui-zhou-shi-hong-ye-yong-long-dian-zi-yuan-qi-jian-you-xian-gong-si,电子元器件,91441302MA4WJTQ52N,2017-05-16,,4,1,"存续,真实工厂",电力电子元器件制造,2026-09-15T16:08:20.726521+00:00
新乡市新晨电子元器件有限公司,河南省新乡市牧野区荣校东路559号竹馨居12号楼103-1室,河南省,新乡市,牧野区,"电力电子元器件制造,电子元器件零售,电子专用设备销售,电子专用材料销售,电子、机械设备维护（不含特种设备）,纸制品制造",王**,00000000000,50.0,50万人民币,存续,,电力电子元器件制造,80.0,enterprise,true,approved,tianxiagongchang.com,808029,https://www.tianxiagongchang.com/detail/808029_xin-xiang-shi-xin-chen-dian-zi-yuan-qi-jian-you-xian-gong-si,电子元器件,91410711MA9GNRHY3G,2021-04-20,,2,1,"存续,真实工厂",电力电子元器件制造,2026-09-15T16:08:20.726521+00:00
新北区三井中誉电子元器件加工厂,新北区三井街道玉龙中路28号,江苏省,常州市,新北区,电子元器件加工,张**,00000000000,10.0,10万人民币,存续,,"电力电子元器件制造,电子和电工机械专用设备制造",80.0,enterprise,true,approved,tianxiagongchang.com,2343354,https://www.tianxiagongchang.com/detail/2343354_xin-bei-qu-san-jing-zhong-yu-dian-zi-yuan-qi-jian-jia-gong-chang,电子元器件,92320411MA1XQ2K549,2019-01-03,,2,1,"存续,真实工厂","电力电子元器件制造,电子和电工机械专用设备制造",2026-09-15T16:08:20.726521+00:00
杭州临安同协电子元器件有限公司,浙江省杭州市临安区锦城街道畔湖路1100-201,浙江省,杭州市,临安区,"晶体管金属外壳,晶体管外壳管座管帽TO3TO66,电子元器件",韩**,00000000000,20.0,20万人民币,存续,,"其他电子元件制造,电气机械和器材制造业,输配电及控制设备制造,电力电子元器件制造",80.0,enterprise,true,approved,tianxiagongchang.com,3655000,https://www.tianxiagongchang.com/detail/3655000_hang-zhou-lin-an-tong-xie-dian-zi-yuan-qi-jian-you-xian-gong-si,电子元器件,913301856998026203,2010-01-07,,4,1,"存续,真实工厂,曾用名,临安同协电子元器件有限公司","其他电子元件制造,电气机械和器材制造业,输配电及控制设备制造,电力电子元器件制造",2026-09-15T16:08:20.726521+00:00
飞比达电子元器件（天津）有限公司,天津经济技术开发区第五大街31号,天津市,天津市,滨海新区,电子元器件,张**,00000000000,568.0,80万美元,存续,,"电子元器件与机电组件设备制造,智能消费设备制造",80.0,enterprise,true,approved,tianxiagongchang.com,1205483,https://www.tianxiagongchang.com/detail/1205483_fei-bi-da-dian-zi-yuan-qi-jian-tian-jin-you-xian-gong-si,电子元器件,911201167229545860,2000-05-08,,15,0,"存续,真实工厂","电子元器件与机电组件设备制造,智能消费设备制造",2026-09-15T16:08:20.726521+00:00
集贤县晟力电力电子元器件制造有限公司,黑龙江省双鸭山市集贤县福利镇福双路东1-3号1层,黑龙江省,双鸭山市,集贤县,电力电子元器件,黄*,00000000000,50.0,50万人民币,存续,,"其他电子设备制造,电力电子元器件制造",80.0,enterprise,true,approved,tianxiagongchang.com,1322491,https://www.tianxiagongchang.com/detail/1322491_ji-xian-xian-cheng-li-dian-li-dian-zi-yuan-qi-jian-zhi-zao-you-xian-gong-si,电子元器件,91230521MA1BL9Q465,2019-05-22,,1,0,"存续,真实工厂","其他电子设备制造,电力电子元器件制造",2026-09-15T16:08:20.726521+00:00
黄骅市国益电子元器件厂,河北省沧州市黄骅市吕桥镇陈庄子村,河北省,沧州市,黄骅市,电子元器件加工,李**,00000000000,0.0,0.001万人民币,存续,,"电力电子元器件制造,其他电子元件制造",80.0,enterprise,true,approved,tianxiagongchang.com,3128962,https://www.tianxiagongchang.com/detail/3128962_huang-hua-shi-guo-yi-dian-zi-yuan-qi-jian-chang,电子元器件,92130983MA0923AM80,2016-09-05,,2,0,"存续,真实工厂","电力电子元器件制造,其他电子元件制造",2026-09-15T16:08:20.726521+00:00
艾尔康电子元器件（韶关）有限公司,乐昌市乐昌产业转移工业园乐园大道19号办公楼二楼,广东省,韶关市,乐昌市,"从事开关,感应器,模具及其零配件,探针,五金模具,开关制,开关,塑胶,包装材料,接线端子,接插件,塑胶模具,货物或技术进出口,自动化生产测试设备及配件,电子元器件,自动化生产测试设备及配件的销售,批发,及相关电子元器件类产品的进出口,佣金代理,变压器产品,信息咨询服务,相关零配件,提供相关的配套服务,插座,五金制品",林**,00000000000,7000.0,7000万人民币,存续,,"仪器仪表制造业,计算机、通信和其他电子设备制造业,电子器件制造,其他电子器件制造",80.0,enterprise,true,approved,tianxiagongchang.com,3734648,https://www.tianxiagongchang.com/detail/3734648_ai-er-kang-dian-zi-yuan-qi-jian-shao-guan-you-xian-gong-si,电子元器件,914403007827580855,2006-05-19,https://www.ptr-hartmann.cn,20,1,"存续,真实工厂,曾用名,深圳艾尔康电子元器件有限公司","仪器仪表制造业,计算机、通信和其他电子设备制造业,电子器件制造,其他电子器件制造",2026-09-15T16:08:20.726521+00:00
发伟包装印刷（重庆）有限公司,重庆市奉节县移民生态园兴园路8号,重庆市,重庆市,奉节县,"出版物印刷,包装装潢印刷品印刷,包装印刷材料销售,塑胶、五金",张**,00000000000,2000.0,2000万人民币,存续,,"包装装潢及其他印刷,装订及印刷相关服务",80.0,enterprise,true,approved,tianxiagongchang.com,18143,https://www.tianxiagongchang.com/detail/18143_fa-wei-bao-zhuang-yin-shua-chong-qing-you-xian-gong-si,包装印刷,91500236MA60DK0T0M,2019-05-30,,5,2,"存续,真实工厂","包装装潢及其他印刷,装订及印刷相关服务",2026-09-15T16:08:20.726521+00:00
东莞百通包装印刷科技有限公司,广东省东莞市塘厦镇莆心湖商业街7号4栋402室,广东省,东莞市,东莞市,"包装印刷技术研发,包装装潢印刷品印刷,其他印刷品印刷,货物或技术进出口",罗**,00000000000,3000.0,3000万港元,存续,,"印刷,其他未列明制造业",80.0,enterprise,true,approved,tianxiagongchang.com,862587,https://www.tianxiagongchang.com/detail/862587_dong-guan-bai-tong-bao-zhuang-yin-shua-ke-ji-you-xian-gong-si,包装印刷,91441900MA52R21X7A,2019-01-09,,6,1,"存续,真实工厂","印刷,其他未列明制造业",2026-09-15T16:08:20.726521+00:00
东莞市九润包装印刷科技有限公司,广东省东莞市虎门镇树田团结南路1号,广东省,东莞市,东莞市,"货物或技术进出口,佣金代理,彩盒,彩卡,文具,产销：包装材料,五金制品,文具礼品,包装材料,文具制品,标签,包装印刷技术研发,玩具制品,玩具,塑胶制品,其他印刷品印刷,包装制品,纸制品,包装装璜印刷品印刷",冉**,00000000000,500.0,500万人民币,存续,,其他纸制品制造,80.0,enterprise,true,approved,tianxiagongchang.com,62787,https://www.tianxiagongchang.com/detail/62787_dong-guan-shi-jiu-run-bao-zhuang-yin-shua-ke-ji-you-xian-gong-si,包装印刷,91441900MA4UJYC39J,2015-11-20,,8,2,"存续,真实工厂,曾用名,东莞市九润包装材料有限公司",其他纸制品制造,2026-09-15T16:08:20.726521+00:00
